@relation 'train_cleaned_expanded-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,2'

@attribute PassengerId numeric
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}
@attribute Gender numeric
@attribute AgeFill numeric
@attribute AgeIsNull numeric
@attribute FamilySize numeric
@attribute Age*Class numeric
@attribute Survived {0,1}

@data
86,3,female,3,0,15.85,S,0,33,0,3,99,1
87,3,male,1,3,34.375,S,1,16,0,4,48,0
88,3,male,0,0,8.05,S,1,25,1,0,75,0
89,1,female,3,2,263,S,0,23,0,5,23,1
90,3,male,0,0,8.05,S,1,24,0,0,72,0
91,3,male,0,0,8.05,S,1,29,0,0,87,0
92,3,male,0,0,7.8542,S,1,20,0,0,60,0
93,1,male,1,0,61.175,S,1,46,0,1,46,0
94,3,male,1,2,20.575,S,1,26,0,3,78,0
95,3,male,0,0,7.25,S,1,59,0,0,177,0
96,3,male,0,0,8.05,S,1,25,1,0,75,0
97,1,male,0,0,34.6542,C,1,71,0,0,71,0
98,1,male,0,1,63.3583,C,1,23,0,1,23,1
99,2,female,0,1,23,S,0,34,0,1,68,1
100,2,male,1,0,26,S,1,34,0,1,68,0
101,3,female,0,0,7.8958,S,0,28,0,0,84,0
102,3,male,0,0,7.8958,S,1,25,1,0,75,0
103,1,male,0,1,77.2875,S,1,21,0,1,21,0
104,3,male,0,0,8.6542,S,1,33,0,0,99,0
105,3,male,2,0,7.925,S,1,37,0,2,111,0
106,3,male,0,0,7.8958,S,1,28,0,0,84,0
107,3,female,0,0,7.65,S,0,21,0,0,63,1
108,3,male,0,0,7.775,S,1,25,1,0,75,1
109,3,male,0,0,7.8958,S,1,38,0,0,114,0
110,3,female,1,0,24.15,Q,0,21.5,1,1,64.5,1
111,1,male,0,0,52,S,1,47,0,0,47,0
112,3,female,1,0,14.4542,C,0,14.5,0,1,43.5,0
113,3,male,0,0,8.05,S,1,22,0,0,66,0
114,3,female,1,0,9.825,S,0,20,0,1,60,0
115,3,female,0,0,14.4583,C,0,17,0,0,51,0
116,3,male,0,0,7.925,S,1,21,0,0,63,0
117,3,male,0,0,7.75,Q,1,70.5,0,0,211.5,0
118,2,male,1,0,21,S,1,29,0,1,58,0
119,1,male,0,1,247.5208,C,1,24,0,1,24,0
120,3,female,4,2,31.275,S,0,2,0,6,6,0
121,2,male,2,0,73.5,S,1,21,0,2,42,0
122,3,male,0,0,8.05,S,1,25,1,0,75,0
123,2,male,1,0,30.0708,C,1,32.5,0,1,65,0
124,2,female,0,0,13,S,0,32.5,0,0,65,1
125,1,male,0,1,77.2875,S,1,54,0,1,54,0
126,3,male,1,0,11.2417,C,1,12,0,1,36,1
127,3,male,0,0,7.75,Q,1,25,1,0,75,0
128,3,male,0,0,7.1417,S,1,24,0,0,72,1
129,3,female,1,1,22.3583,C,0,21.5,1,2,64.5,1
130,3,male,0,0,6.975,S,1,45,0,0,135,0
131,3,male,0,0,7.8958,C,1,33,0,0,99,0
132,3,male,0,0,7.05,S,1,20,0,0,60,0
133,3,female,1,0,14.5,S,0,47,0,1,141,0
134,2,female,1,0,26,S,0,29,0,1,58,1
135,2,male,0,0,13,S,1,25,0,0,50,0
136,2,male,0,0,15.0458,C,1,23,0,0,46,0
137,1,female,0,2,26.2833,S,0,19,0,2,19,1
138,1,male,1,0,53.1,S,1,37,0,1,37,0
139,3,male,0,0,9.2167,S,1,16,0,0,48,0
140,1,male,0,0,79.2,C,1,24,0,0,24,0
141,3,female,0,2,15.2458,C,0,21.5,1,2,64.5,0
142,3,female,0,0,7.75,S,0,22,0,0,66,1
143,3,female,1,0,15.85,S,0,24,0,1,72,1
144,3,male,0,0,6.75,Q,1,19,0,0,57,0
145,2,male,0,0,11.5,S,1,18,0,0,36,0
146,2,male,1,1,36.75,S,1,19,0,2,38,0
147,3,male,0,0,7.7958,S,1,27,0,0,81,1
148,3,female,2,2,34.375,S,0,9,0,4,27,0
149,2,male,0,2,26,S,1,36.5,0,2,73,0
150,2,male,0,0,13,S,1,42,0,0,84,0
151,2,male,0,0,12.525,S,1,51,0,0,102,0
152,1,female,1,0,66.6,S,0,22,0,1,22,1
153,3,male,0,0,8.05,S,1,55.5,0,0,166.5,0
154,3,male,0,2,14.5,S,1,40.5,0,2,121.5,0
155,3,male,0,0,7.3125,S,1,25,1,0,75,0
156,1,male,0,1,61.3792,C,1,51,0,1,51,0
157,3,female,0,0,7.7333,Q,0,16,0,0,48,1
158,3,male,0,0,8.05,S,1,30,0,0,90,0
159,3,male,0,0,8.6625,S,1,25,1,0,75,0
160,3,male,8,2,69.55,S,1,25,1,10,75,0
161,3,male,0,1,16.1,S,1,44,0,1,132,0
162,2,female,0,0,15.75,S,0,40,0,0,80,1
163,3,male,0,0,7.775,S,1,26,0,0,78,0
164,3,male,0,0,8.6625,S,1,17,0,0,51,0
165,3,male,4,1,39.6875,S,1,1,0,5,3,0
166,3,male,0,2,20.525,S,1,9,0,2,27,1
167,1,female,0,1,55,S,0,35,1,1,35,1
168,3,female,1,4,27.9,S,0,45,0,5,135,0
169,1,male,0,0,25.925,S,1,40,1,0,40,0
170,3,male,0,0,56.4958,S,1,28,0,0,84,0
171,1,male,0,0,33.5,S,1,61,0,0,61,0
172,3,male,4,1,29.125,Q,1,4,0,5,12,0
173,3,female,1,1,11.1333,S,0,1,0,2,3,1
174,3,male,0,0,7.925,S,1,21,0,0,63,0
175,1,male,0,0,30.6958,C,1,56,0,0,56,0
176,3,male,1,1,7.8542,S,1,18,0,2,54,0
177,3,male,3,1,25.4667,S,1,25,1,4,75,0
178,1,female,0,0,28.7125,C,0,50,0,0,50,0
179,2,male,0,0,13,S,1,30,0,0,60,0
180,3,male,0,0,0,S,1,36,0,0,108,0
181,3,female,8,2,69.55,S,0,21.5,1,10,64.5,0
182,2,male,0,0,15.05,C,1,30,1,0,60,0
183,3,male,4,2,31.3875,S,1,9,0,6,27,0
184,2,male,2,1,39,S,1,1,0,3,2,1
185,3,female,0,2,22.025,S,0,4,0,2,12,1
186,1,male,0,0,50,S,1,40,1,0,40,0
187,3,female,1,0,15.5,Q,0,21.5,1,1,64.5,1
188,1,male,0,0,26.55,S,1,45,0,0,45,1
189,3,male,1,1,15.5,Q,1,40,0,2,120,0
190,3,male,0,0,7.8958,S,1,36,0,0,108,0
191,2,female,0,0,13,S,0,32,0,0,64,1
192,2,male,0,0,13,S,1,19,0,0,38,0
193,3,female,1,0,7.8542,S,0,19,0,1,57,1
194,2,male,1,1,26,S,1,3,0,2,6,1
195,1,female,0,0,27.7208,C,0,44,0,0,44,1
196,1,female,0,0,146.5208,C,0,58,0,0,58,1
197,3,male,0,0,7.75,Q,1,25,1,0,75,0
198,3,male,0,1,8.4042,S,1,42,0,1,126,0
199,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
200,2,female,0,0,13,S,0,24,0,0,48,0
201,3,male,0,0,9.5,S,1,28,0,0,84,0
202,3,male,8,2,69.55,S,1,25,1,10,75,0
203,3,male,0,0,6.4958,S,1,34,0,0,102,0
204,3,male,0,0,7.225,C,1,45.5,0,0,136.5,0
205,3,male,0,0,8.05,S,1,18,0,0,54,1
206,3,female,0,1,10.4625,S,0,2,0,1,6,0
207,3,male,1,0,15.85,S,1,32,0,1,96,0
208,3,male,0,0,18.7875,C,1,26,0,0,78,1
209,3,female,0,0,7.75,Q,0,16,0,0,48,1
210,1,male,0,0,31,C,1,40,0,0,40,1
211,3,male,0,0,7.05,S,1,24,0,0,72,0
212,2,female,0,0,21,S,0,35,0,0,70,1
213,3,male,0,0,7.25,S,1,22,0,0,66,0
214,2,male,0,0,13,S,1,30,0,0,60,0
215,3,male,1,0,7.75,Q,1,25,1,1,75,0
216,1,female,1,0,113.275,C,0,31,0,1,31,1
217,3,female,0,0,7.925,S,0,27,0,0,81,1
218,2,male,1,0,27,S,1,42,0,1,84,0
219,1,female,0,0,76.2917,C,0,32,0,0,32,1
220,2,male,0,0,10.5,S,1,30,0,0,60,0
221,3,male,0,0,8.05,S,1,16,0,0,48,1
222,2,male,0,0,13,S,1,27,0,0,54,0
223,3,male,0,0,8.05,S,1,51,0,0,153,0
224,3,male,0,0,7.8958,S,1,25,1,0,75,0
225,1,male,1,0,90,S,1,38,0,1,38,1
226,3,male,0,0,9.35,S,1,22,0,0,66,0
227,2,male,0,0,10.5,S,1,19,0,0,38,1
228,3,male,0,0,7.25,S,1,20.5,0,0,61.5,0
229,2,male,0,0,13,S,1,18,0,0,36,0
230,3,female,3,1,25.4667,S,0,21.5,1,4,64.5,0
231,1,female,1,0,83.475,S,0,35,0,1,35,1
232,3,male,0,0,7.775,S,1,29,0,0,87,0
233,2,male,0,0,13.5,S,1,59,0,0,118,0
234,3,female,4,2,31.3875,S,0,5,0,6,15,1
235,2,male,0,0,10.5,S,1,24,0,0,48,0
236,3,female,0,0,7.55,S,0,21.5,1,0,64.5,0
237,2,male,1,0,26,S,1,44,0,1,88,0
238,2,female,0,2,26.25,S,0,8,0,2,16,1
239,2,male,0,0,10.5,S,1,19,0,0,38,0
240,2,male,0,0,12.275,S,1,33,0,0,66,0
241,3,female,1,0,14.4542,C,0,21.5,1,1,64.5,0
242,3,female,1,0,15.5,Q,0,21.5,1,1,64.5,1
243,2,male,0,0,10.5,S,1,29,0,0,58,0
244,3,male,0,0,7.125,S,1,22,0,0,66,0
245,3,male,0,0,7.225,C,1,30,0,0,90,0
246,1,male,2,0,90,Q,1,44,0,2,44,0
247,3,female,0,0,7.775,S,0,25,0,0,75,0
248,2,female,0,2,14.5,S,0,24,0,2,48,1
249,1,male,1,1,52.5542,S,1,37,0,2,37,1
250,2,male,1,0,26,S,1,54,0,1,108,0
251,3,male,0,0,7.25,S,1,25,1,0,75,0
252,3,female,1,1,10.4625,S,0,29,0,2,87,0
253,1,male,0,0,26.55,S,1,62,0,0,62,0
254,3,male,1,0,16.1,S,1,30,0,1,90,0
255,3,female,0,2,20.2125,S,0,41,0,2,123,0
256,3,female,0,2,15.2458,C,0,29,0,2,87,1
257,1,female,0,0,79.2,C,0,35,1,0,35,1
258,1,female,0,0,86.5,S,0,30,0,0,30,1
259,1,female,0,0,512.3292,C,0,35,0,0,35,1
260,2,female,0,1,26,S,0,50,0,1,100,1
261,3,male,0,0,7.75,Q,1,25,1,0,75,0
262,3,male,4,2,31.3875,S,1,3,0,6,9,1
263,1,male,1,1,79.65,S,1,52,0,2,52,0
264,1,male,0,0,0,S,1,40,0,0,40,0
265,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,0
266,2,male,0,0,10.5,S,1,36,0,0,72,0
267,3,male,4,1,39.6875,S,1,16,0,5,48,0
268,3,male,1,0,7.775,S,1,25,0,1,75,1
269,1,female,0,1,153.4625,S,0,58,0,1,58,1
270,1,female,0,0,135.6333,S,0,35,0,0,35,1
271,1,male,0,0,31,S,1,40,1,0,40,0
272,3,male,0,0,0,S,1,25,0,0,75,1
273,2,female,0,1,19.5,S,0,41,0,1,82,1
274,1,male,0,1,29.7,C,1,37,0,1,37,0
275,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
276,1,female,1,0,77.9583,S,0,63,0,1,63,1
277,3,female,0,0,7.75,S,0,45,0,0,135,0
278,2,male,0,0,0,S,1,30,1,0,60,0
279,3,male,4,1,29.125,Q,1,7,0,5,21,0
280,3,female,1,1,20.25,S,0,35,0,2,105,1
281,3,male,0,0,7.75,Q,1,65,0,0,195,0
282,3,male,0,0,7.8542,S,1,28,0,0,84,0
283,3,male,0,0,9.5,S,1,16,0,0,48,0
284,3,male,0,0,8.05,S,1,19,0,0,57,1
285,1,male,0,0,26,S,1,40,1,0,40,0
286,3,male,0,0,8.6625,C,1,33,0,0,99,0
287,3,male,0,0,9.5,S,1,30,0,0,90,1
288,3,male,0,0,7.8958,S,1,22,0,0,66,0
289,2,male,0,0,13,S,1,42,0,0,84,1
290,3,female,0,0,7.75,Q,0,22,0,0,66,1
291,1,female,0,0,78.85,S,0,26,0,0,26,1
292,1,female,1,0,91.0792,C,0,19,0,1,19,1
293,2,male,0,0,12.875,C,1,36,0,0,72,0
294,3,female,0,0,8.85,S,0,24,0,0,72,0
295,3,male,0,0,7.8958,S,1,24,0,0,72,0
296,1,male,0,0,27.7208,C,1,40,1,0,40,0
297,3,male,0,0,7.2292,C,1,23.5,0,0,70.5,0
298,1,female,1,2,151.55,S,0,2,0,3,2,0
299,1,male,0,0,30.5,S,1,40,1,0,40,1
300,1,female,0,1,247.5208,C,0,50,0,1,50,1
301,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
302,3,male,2,0,23.25,Q,1,25,1,2,75,1
303,3,male,0,0,0,S,1,19,0,0,57,0
304,2,female,0,0,12.35,Q,0,28,1,0,56,1
305,3,male,0,0,8.05,S,1,25,1,0,75,0
306,1,male,1,2,151.55,S,1,0.92,0,3,0.92,1
307,1,female,0,0,110.8833,C,0,35,1,0,35,1
308,1,female,1,0,108.9,C,0,17,0,1,17,1
309,2,male,1,0,24,C,1,30,0,1,60,0
310,1,female,0,0,56.9292,C,0,30,0,0,30,1
311,1,female,0,0,83.1583,C,0,24,0,0,24,1
312,1,female,2,2,262.375,C,0,18,0,4,18,1
313,2,female,1,1,26,S,0,26,0,2,52,0
314,3,male,0,0,7.8958,S,1,28,0,0,84,0
315,2,male,1,1,26.25,S,1,43,0,2,86,0
316,3,female,0,0,7.8542,S,0,26,0,0,78,1
317,2,female,1,0,26,S,0,24,0,1,48,1
318,2,male,0,0,14,S,1,54,0,0,108,0
319,1,female,0,2,164.8667,S,0,31,0,2,31,1
320,1,female,1,1,134.5,C,0,40,0,2,40,1
321,3,male,0,0,7.25,S,1,22,0,0,66,0
322,3,male,0,0,7.8958,S,1,27,0,0,81,0
323,2,female,0,0,12.35,Q,0,30,0,0,60,1
324,2,female,1,1,29,S,0,22,0,2,44,1
325,3,male,8,2,69.55,S,1,25,1,10,75,0
326,1,female,0,0,135.6333,C,0,36,0,0,36,1
327,3,male,0,0,6.2375,S,1,61,0,0,183,0
328,2,female,0,0,13,S,0,36,0,0,72,1
329,3,female,1,1,20.525,S,0,31,0,2,93,1
330,1,female,0,1,57.9792,C,0,16,0,1,16,1
331,3,female,2,0,23.25,Q,0,21.5,1,2,64.5,1
332,1,male,0,0,28.5,S,1,45.5,0,0,45.5,0
333,1,male,0,1,153.4625,S,1,38,0,1,38,0
334,3,male,2,0,18,S,1,16,0,2,48,0
335,1,female,1,0,133.65,S,0,35,1,1,35,1
336,3,male,0,0,7.8958,S,1,25,1,0,75,0
337,1,male,1,0,66.6,S,1,29,0,1,29,0
338,1,female,0,0,134.5,C,0,41,0,0,41,1
339,3,male,0,0,8.05,S,1,45,0,0,135,1
340,1,male,0,0,35.5,S,1,45,0,0,45,0
341,2,male,1,1,26,S,1,2,0,2,4,1
342,1,female,3,2,263,S,0,24,0,5,24,1
343,2,male,0,0,13,S,1,28,0,0,56,0
344,2,male,0,0,13,S,1,25,0,0,50,0
345,2,male,0,0,13,S,1,36,0,0,72,0
346,2,female,0,0,13,S,0,24,0,0,48,1
347,2,female,0,0,13,S,0,40,0,0,80,1
348,3,female,1,0,16.1,S,0,21.5,1,1,64.5,1
349,3,male,1,1,15.9,S,1,3,0,2,9,1
350,3,male,0,0,8.6625,S,1,42,0,0,126,0
351,3,male,0,0,9.225,S,1,23,0,0,69,0
352,1,male,0,0,35,S,1,40,1,0,40,0
353,3,male,1,1,7.2292,C,1,15,0,2,45,0
354,3,male,1,0,17.8,S,1,25,0,1,75,0
355,3,male,0,0,7.225,C,1,25,1,0,75,0
356,3,male,0,0,9.5,S,1,28,0,0,84,0
357,1,female,0,1,55,S,0,22,0,1,22,1
358,2,female,0,0,13,S,0,38,0,0,76,0
359,3,female,0,0,7.8792,Q,0,21.5,1,0,64.5,1
360,3,female,0,0,7.8792,Q,0,21.5,1,0,64.5,1
361,3,male,1,4,27.9,S,1,40,0,5,120,0
362,2,male,1,0,27.7208,C,1,29,0,1,58,0
363,3,female,0,1,14.4542,C,0,45,0,1,135,0
364,3,male,0,0,7.05,S,1,35,0,0,105,0
365,3,male,1,0,15.5,Q,1,25,1,1,75,0
366,3,male,0,0,7.25,S,1,30,0,0,90,0
367,1,female,1,0,75.25,C,0,60,0,1,60,1
368,3,female,0,0,7.2292,C,0,21.5,1,0,64.5,1
369,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
370,1,female,0,0,69.3,C,0,24,0,0,24,1
371,1,male,1,0,55.4417,C,1,25,0,1,25,1
372,3,male,1,0,6.4958,S,1,18,0,1,54,0
373,3,male,0,0,8.05,S,1,19,0,0,57,0
374,1,male,0,0,135.6333,C,1,22,0,0,22,0
375,3,female,3,1,21.075,S,0,3,0,4,9,0
376,1,female,1,0,82.1708,C,0,35,1,1,35,1
377,3,female,0,0,7.25,S,0,22,0,0,66,1
378,1,male,0,2,211.5,C,1,27,0,2,27,0
379,3,male,0,0,4.0125,C,1,20,0,0,60,0
380,3,male,0,0,7.775,S,1,19,0,0,57,0
381,1,female,0,0,227.525,C,0,42,0,0,42,1
382,3,female,0,2,15.7417,C,0,1,0,2,3,1
383,3,male,0,0,7.925,S,1,32,0,0,96,0
384,1,female,1,0,52,S,0,35,0,1,35,1
385,3,male,0,0,7.8958,S,1,25,1,0,75,0
386,2,male,0,0,73.5,S,1,18,0,0,36,0
387,3,male,5,2,46.9,S,1,1,0,7,3,0
388,2,female,0,0,13,S,0,36,0,0,72,1
389,3,male,0,0,7.7292,Q,1,25,1,0,75,0
390,2,female,0,0,12,C,0,17,0,0,34,1
391,1,male,1,2,120,S,1,36,0,3,36,1
392,3,male,0,0,7.7958,S,1,21,0,0,63,1
393,3,male,2,0,7.925,S,1,28,0,2,84,0
394,1,female,1,0,113.275,C,0,23,0,1,23,1
395,3,female,0,2,16.7,S,0,24,0,2,72,1
396,3,male,0,0,7.7958,S,1,22,0,0,66,0
397,3,female,0,0,7.8542,S,0,31,0,0,93,0
398,2,male,0,0,26,S,1,46,0,0,92,0
399,2,male,0,0,10.5,S,1,23,0,0,46,0
400,2,female,0,0,12.65,S,0,28,0,0,56,1
401,3,male,0,0,7.925,S,1,39,0,0,117,1
402,3,male,0,0,8.05,S,1,26,0,0,78,0
403,3,female,1,0,9.825,S,0,21,0,1,63,0
404,3,male,1,0,15.85,S,1,28,0,1,84,0
405,3,female,0,0,8.6625,S,0,20,0,0,60,0
406,2,male,1,0,21,S,1,34,0,1,68,0
407,3,male,0,0,7.75,S,1,51,0,0,153,0
408,2,male,1,1,18.75,S,1,3,0,2,6,1
409,3,male,0,0,7.775,S,1,21,0,0,63,0
410,3,female,3,1,25.4667,S,0,21.5,1,4,64.5,0
411,3,male,0,0,7.8958,S,1,25,1,0,75,0
412,3,male,0,0,6.8583,Q,1,25,1,0,75,0
413,1,female,1,0,90,Q,0,33,0,1,33,1
414,2,male,0,0,0,S,1,30,1,0,60,0
415,3,male,0,0,7.925,S,1,44,0,0,132,1
416,3,female,0,0,8.05,S,0,21.5,1,0,64.5,0
417,2,female,1,1,32.5,S,0,34,0,2,68,1
418,2,female,0,2,13,S,0,18,0,2,36,1
419,2,male,0,0,13,S,1,30,0,0,60,0
420,3,female,0,2,24.15,S,0,10,0,2,30,0
421,3,male,0,0,7.8958,C,1,25,1,0,75,0
422,3,male,0,0,7.7333,Q,1,21,0,0,63,0
423,3,male,0,0,7.875,S,1,29,0,0,87,0
424,3,female,1,1,14.4,S,0,28,0,2,84,0
425,3,male,1,1,20.2125,S,1,18,0,2,54,0
426,3,male,0,0,7.25,S,1,25,1,0,75,0
427,2,female,1,0,26,S,0,28,0,1,56,1
428,2,female,0,0,26,S,0,19,0,0,38,1
429,3,male,0,0,7.75,Q,1,25,1,0,75,0
430,3,male,0,0,8.05,S,1,32,0,0,96,1
431,1,male,0,0,26.55,S,1,28,0,0,28,1
432,3,female,1,0,16.1,S,0,21.5,1,1,64.5,1
433,2,female,1,0,26,S,0,42,0,1,84,1
434,3,male,0,0,7.125,S,1,17,0,0,51,0
435,1,male,1,0,55.9,S,1,50,0,1,50,0
436,1,female,1,2,120,S,0,14,0,3,14,1
437,3,female,2,2,34.375,S,0,21,0,4,63,0
438,2,female,2,3,18.75,S,0,24,0,5,48,1
439,1,male,1,4,263,S,1,64,0,5,64,0
440,2,male,0,0,10.5,S,1,31,0,0,62,0
441,2,female,1,1,26.25,S,0,45,0,2,90,1
442,3,male,0,0,9.5,S,1,20,0,0,60,0
443,3,male,1,0,7.775,S,1,25,0,1,75,0
444,2,female,0,0,13,S,0,28,0,0,56,1
445,3,male,0,0,8.1125,S,1,25,1,0,75,1
446,1,male,0,2,81.8583,S,1,4,0,2,4,1
447,2,female,0,1,19.5,S,0,13,0,1,26,1
448,1,male,0,0,26.55,S,1,34,0,0,34,1
449,3,female,2,1,19.2583,C,0,5,0,3,15,1
450,1,male,0,0,30.5,S,1,52,0,0,52,1
451,2,male,1,2,27.75,S,1,36,0,3,72,0
452,3,male,1,0,19.9667,S,1,25,1,1,75,0
453,1,male,0,0,27.75,C,1,30,0,0,30,0
454,1,male,1,0,89.1042,C,1,49,0,1,49,1
455,3,male,0,0,8.05,S,1,25,1,0,75,0
456,3,male,0,0,7.8958,C,1,29,0,0,87,1
457,1,male,0,0,26.55,S,1,65,0,0,65,0
458,1,female,1,0,51.8625,S,0,35,1,1,35,1
459,2,female,0,0,10.5,S,0,50,0,0,100,1
460,3,male,0,0,7.75,Q,1,25,1,0,75,0
461,1,male,0,0,26.55,S,1,48,0,0,48,1
462,3,male,0,0,8.05,S,1,34,0,0,102,0
463,1,male,0,0,38.5,S,1,47,0,0,47,0
464,2,male,0,0,13,S,1,48,0,0,96,0
465,3,male,0,0,8.05,S,1,25,1,0,75,0
466,3,male,0,0,7.05,S,1,38,0,0,114,0
467,2,male,0,0,0,S,1,30,1,0,60,0
468,1,male,0,0,26.55,S,1,56,0,0,56,0
469,3,male,0,0,7.725,Q,1,25,1,0,75,0
470,3,female,2,1,19.2583,C,0,0.75,0,3,2.25,1
471,3,male,0,0,7.25,S,1,25,1,0,75,0
472,3,male,0,0,8.6625,S,1,38,0,0,114,0
473,2,female,1,2,27.75,S,0,33,0,3,66,1
474,2,female,0,0,13.7917,C,0,23,0,0,46,1
475,3,female,0,0,9.8375,S,0,22,0,0,66,0
476,1,male,0,0,52,S,1,40,1,0,40,0
